"Sepal.Length" "Sepal.Width" "Petal.Length" "Petal.Width" "Species"
"100" 5.7 2.8 4.1 1.3 "versicolor"
"101" 6.3 3.3 6 2.5 "virginica"
"102" 5.8 2.7 5.1 1.9 "virginica"
"103" 7.1 3 5.9 2.1 "virginica"
"104" 6.3 2.9 5.6 1.8 "virginica"
"105" 6.5 3 5.8 2.2 "virginica"
"106" 7.6 3 6.6 2.1 "virginica"
"107" 4.9 2.5 4.5 1.7 "virginica"
"108" 7.3 2.9 6.3 1.8 "virginica"
"109" 6.7 2.5 5.8 1.8 "virginica"
"110" 7.2 3.6 6.1 2.5 "virginica"
"111" 6.5 3.2 5.1 2 "virginica"
"112" 6.4 2.7 5.3 1.9 "virginica"
"113" 6.8 3 5.5 2.1 "virginica"
"114" 5.7 2.5 5 2 "virginica"
"115" 5.8 2.8 5.1 2.4 "virginica"
"116" 6.4 3.2 5.3 2.3 "virginica"
"117" 6.5 3 5.5 1.8 "virginica"
"118" 7.7 3.8 6.7 2.2 "virginica"
"119" 7.7 2.6 6.9 2.3 "virginica"
"120" 6 2.2 5 1.5 "virginica"
"121" 6.9 3.2 5.7 2.3 "virginica"
"122" 5.6 2.8 4.9 2 "virginica"
"123" 7.7 2.8 6.7 2 "virginica"
"124" 6.3 2.7 4.9 1.8 "virginica"
"125" 6.7 3.3 5.7 2.1 "virginica"
"126" 7.2 3.2 6 1.8 "virginica"
"127" 6.2 2.8 4.8 1.8 "virginica"
"128" 6.1 3 4.9 1.8 "virginica"
"129" 6.4 2.8 5.6 2.1 "virginica"
"130" 7.2 3 5.8 1.6 "virginica"
"131" 7.4 2.8 6.1 1.9 "virginica"
"132" 7.9 3.8 6.4 2 "virginica"
"133" 6.4 2.8 5.6 2.2 "virginica"
"134" 6.3 2.8 5.1 1.5 "virginica"
"135" 6.1 2.6 5.6 1.4 "virginica"
"136" 7.7 3 6.1 2.3 "virginica"
"137" 6.3 3.4 5.6 2.4 "virginica"
"138" 6.4 3.1 5.5 1.8 "virginica"
"139" 6 3 4.8 1.8 "virginica"
"140" 6.9 3.1 5.4 2.1 "virginica"
"141" 6.7 3.1 5.6 2.4 "virginica"
"142" 6.9 3.1 5.1 2.3 "virginica"
"143" 5.8 2.7 5.1 1.9 "virginica"
"144" 6.8 3.2 5.9 2.3 "virginica"
"145" 6.7 3.3 5.7 2.5 "virginica"
"146" 6.7 3 5.2 2.3 "virginica"
"147" 6.3 2.5 5 1.9 "virginica"
"148" 6.5 3 5.2 2 "virginica"
"149" 6.2 3.4 5.4 2.3 "virginica"
"150" 5.9 3 5.1 1.8 "virginica"
"chrysantha.1" 4.78868192612166 3.53362642495661 1.32629075272445 0.337317954990602 "chrysantha"
"chrysantha.2" 4.91675128960131 3.4160968364134 1.51107259671905 0.335150566808635 "chrysantha"
"chrysantha.3" 5.61037146672257 3.4101242708694 1.41487435273572 0.284510301033852 "chrysantha"
"chrysantha.4" 5.03333882892309 3.99866719746705 1.39560879956563 0.129104800501644 "chrysantha"
"chrysantha.5" 5.05612985266016 3.3338600901369 1.28021192813241 0.23215255831197 "chrysantha"
"chrysantha.6" 5.67099699285495 4.06032397021327 1.453398335893 0.213495409578035 "chrysantha"
"chrysantha.7" 5.18471503020882 2.7822152949162 1.31205938827682 0.311264082150561 "chrysantha"
"chrysantha.8" 4.51548685721845 3.67176686638789 1.14337239113473 0.20282535439803 "chrysantha"
"chrysantha.9" 4.73968059838182 3.47964360388314 1.38936517721098 0.359254807780932 "chrysantha"
"chrysantha.10" 4.83319962671219 3.51804132996936 1.63755628626935 0.202577033087114 "chrysantha"
"chrysantha.11" 5.48062383089343 3.58629858111806 1.35209124182176 0.368034680071931 "chrysantha"
"chrysantha.12" 5.14551372968998 3.21854578488134 1.57813966530646 0.124375049067355 "chrysantha"
"chrysantha.13" 5.16139458359038 3.28906224866424 1.15293522534655 0.0999175765028917 "chrysantha"
"chrysantha.14" 5.04891596751577 3.00328380152805 1.45138597571619 0.621714794122987 "chrysantha"
"chrysantha.15" 4.79047890549718 2.98109434842641 1.56122256392116 0.197676139122585 "chrysantha"
"chrysantha.16" 5.69885529793626 3.55456258225221 1.51952944607005 0.280571779554301 "chrysantha"
"chrysantha.17" 5.1990358752851 3.61489039265485 1.48218736522959 0.319793797307473 "chrysantha"
"chrysantha.18" 4.24346650695011 3.45010121514154 1.3396056774317 0.18991814299194 "chrysantha"
"chrysantha.19" 5.27794279460424 3.81255860943485 1.29968064218535 0.305916792284981 "chrysantha"
"chrysantha.20" 4.82268049503005 4.28282546374634 1.26636027144445 0.288771898596688 "chrysantha"
"chrysantha.21" 4.59196347146535 3.22325433891538 1.48447407604717 0.221032198087327 "chrysantha"
"chrysantha.22" 4.92148269956289 2.46514399272027 1.28100354913086 0.253569039302524 "chrysantha"
"chrysantha.23" 4.60817841423023 3.84736360317623 1.36828861720622 0.242050782624834 "chrysantha"
"chrysantha.24" 4.72338069443199 3.13228398640601 1.41307860707903 0.492738973629387 "chrysantha"
"chrysantha.25" 4.76364811437766 3.14112049265259 1.81423368926525 0.160061244422144 "chrysantha"
"chrysantha.26" 4.35200380271853 3.85563332063903 1.33745775202337 0.118947566179607 "chrysantha"
"chrysantha.27" 5.33084242259189 3.30925796972121 1.50696599014684 0.25038058799021 "chrysantha"
"chrysantha.28" 5.06546868656646 2.91899635161553 1.47689289197465 0.281992216448346 "chrysantha"
"chrysantha.29" 4.56470031377324 3.50359825808268 1.27825614616358 0.296603612513495 "chrysantha"
"chrysantha.30" 5.49215251228665 3.37008635665653 1.44837798806066 0.192864389186945 "chrysantha"
"chrysantha.31" 5.1713566640397 3.43040349724064 1.73795312271195 0.122734823535065 "chrysantha"
"chrysantha.32" 4.89158937977989 3.58865067939593 1.54825099811321 0.39243366570616 "chrysantha"
"chrysantha.33" 5.35307482070634 3.27344558778934 1.46987674142183 0.205467076567408 "chrysantha"
"chrysantha.34" 5.3464862981874 3.69668620880721 1.38129026275525 0.14566615853859 "chrysantha"
"chrysantha.35" 5.32455874433558 3.33606354060496 1.06976736991998 0.218609492205547 "chrysantha"
"chrysantha.36" 5.27301244654737 3.56634339291215 1.67811979603309 0.223142552378794 "chrysantha"
"chrysantha.37" 5.22077528648122 3.88534984737162 1.18297334865051 0.374666564285977 "chrysantha"
"chrysantha.38" 4.98199443655436 3.60945797699183 1.60335246611697 0.255823098428738 "chrysantha"
"chrysantha.39" 4.88736644799526 3.29209604407826 1.82669681107738 0.333413042833518 "chrysantha"
"chrysantha.40" 4.85847668544529 3.90701923861129 1.18617251749275 0.188119998147304 "chrysantha"
"chrysantha.41" 4.73663524972484 3.84226210359051 1.5960621395832 0.270859389874048 "chrysantha"
"chrysantha.42" 4.92538243407506 3.65666552221727 1.41191230973563 0.208361062239555 "chrysantha"
"chrysantha.43" 4.51535691941813 3.52754416400861 1.1616726785078 0.256964514948438 "chrysantha"
"chrysantha.44" 5.84698807078211 3.16618149737785 1.1726524380955 0.142205765291264 "chrysantha"
"chrysantha.45" 5.47437356164309 3.99535234815748 1.1560579103484 0.0940464486349605 "chrysantha"
"chrysantha.46" 4.5705273874799 3.17770927613448 1.36058071676276 0.477525260636318 "chrysantha"
"chrysantha.47" 4.84978597546462 4.34005400110146 1.18276025155562 0.315636658771363 "chrysantha"
"chrysantha.48" 4.82505968040136 4.06705388809367 1.59341301364481 0.100947433088861 "chrysantha"
"chrysantha.49" 5.30842262665975 3.32971983128999 1.863184642821 0.175151111627802 "chrysantha"
"chrysantha.50" 4.97367459021967 3.00001244989776 1.21613805833393 0.108574230845047 "chrysantha"
"montana.1" 7.18445870595512 2.6403500934753 3.89028982932278 1.54677850570861 "montana"
"montana.2" 6.6811726826139 2.57605255308933 3.87093351052577 0.892521510365511 "montana"
"montana.3" 5.7854537491414 2.6512872834045 3.77486739667162 1.23305481342916 "montana"
"montana.4" 6.24441921069531 2.80123746575802 3.71595370198269 1.35137186895862 "montana"
"montana.5" 5.70074264118917 3.32177030952037 4.03403133020878 1.13170239014342 "montana"
"montana.6" 5.66559260353274 2.7394292579311 4.43118720168734 1.39863322191469 "montana"
"montana.7" 5.48824056546992 3.14306837678064 3.2188504142106 1.4154975063794 "montana"
"montana.8" 5.59838329529059 2.9877225423507 4.3695731258619 1.31881371206273 "montana"
"montana.9" 6.87336588122262 2.7307739904534 4.89923989754887 0.789598225922149 "montana"
"montana.10" 5.90532346477103 2.24087571374847 5.31322623792112 1.88536401385111 "montana"
"montana.11" 6.0037060455156 2.59012168541542 4.93258057026176 1.28134167379599 "montana"
"montana.12" 6.07436286206733 2.60090742044578 4.65117844568649 1.46765273829841 "montana"
"montana.13" 6.63578533671895 2.78627668013447 3.36744947379447 1.38555186302771 "montana"
"montana.14" 5.64298501446537 3.21880018162174 3.94907993452656 1.54889506614568 "montana"
"montana.15" 5.37246609028436 3.56152077109873 4.07802645610874 1.50386378153666 "montana"
"montana.16" 6.88744104850295 3.30419117576142 4.62365296512178 1.2803641219572 "montana"
"montana.17" 5.68551270391638 2.72403919570109 4.20537826818924 1.40826205949014 "montana"
"montana.18" 5.52545162978262 2.16368511313634 3.60940191250516 1.12034715693982 "montana"
"montana.19" 5.23405863475597 2.6358016835401 5.13068831265722 1.51240470415919 "montana"
"montana.20" 5.20655349315627 2.80079238473701 4.73110004983341 1.22571127619085 "montana"
"montana.21" 5.61010459588717 3.06168003030025 4.38272820050987 1.85171574844271 "montana"
"montana.22" 6.28688509292765 3.10224362898671 4.88964286820887 0.96685072166503 "montana"
"montana.23" 6.56615874563185 3.00620866678522 3.56798479301985 1.22506980713711 "montana"
"montana.24" 6.33776036147318 2.28838177321803 4.60157938310585 1.50554318787067 "montana"
"montana.25" 5.72951965540222 3.06327821950886 3.98970550765926 1.43696808613308 "montana"
"montana.26" 5.96992531308848 2.61585820361187 4.61342947899194 1.19777139930398 "montana"
"montana.27" 5.53593839863763 2.83033807365588 4.22856100543284 1.1091723305367 "montana"
"montana.28" 5.52877194672984 2.79573343784331 4.58717870593662 1.35742750358229 "montana"
"montana.29" 6.43829416908829 2.91779381427151 4.95033182637511 1.32288773777254 "montana"
"montana.30" 5.35935845512793 2.77851726506426 4.26376826281148 0.936563796106099 "montana"
"montana.31" 7.04619296191682 2.1944240211126 4.78597817083803 1.33351582273501 "montana"
"montana.32" 5.88471759473833 3.02422231881296 3.64569598127423 1.36738041022092 "montana"
"montana.33" 6.05781262745403 2.90324793892042 3.88700116743542 1.36400787459777 "montana"
"montana.34" 5.51667263825675 2.67830286192344 5.04528678733854 1.09650430761234 "montana"
"montana.35" 5.60986884425882 2.81078090443109 4.45507262632251 1.42957229500606 "montana"
"montana.36" 5.18821369951503 2.81626721240299 3.19920176582943 1.62587753307371 "montana"
"montana.37" 5.8321371117022 2.84629109253527 3.55492621069008 1.42524416858889 "montana"
"montana.38" 6.17389329140438 3.33638425338619 4.15621587642861 1.07897777026133 "montana"
"montana.39" 6.12013619985593 2.6943885941908 4.70752317056155 1.23123493492025 "montana"
"montana.40" 5.49225275650516 2.82801249924905 4.20733633371672 1.4012872101586 "montana"
"montana.41" 5.48822970197498 3.1733005904746 4.58264379945398 1.18524949155374 "montana"
"montana.42" 5.65085746264886 3.13388026144032 4.75571186968012 0.856651620223621 "montana"
"montana.43" 6.78544568723489 3.16531980825095 5.12377170841779 1.51834926640247 "montana"
"montana.44" 5.29025235411719 2.57067066040911 4.28895516566253 1.14556543722723 "montana"
"montana.45" 5.83433660645967 3.46121329569612 4.23313044483451 1.20123461124258 "montana"
"montana.46" 7.01613871198916 2.79302368361235 3.35374797115504 1.65314041348022 "montana"
"montana.47" 5.87866764537671 3.4143964767514 4.31134263948517 1.15760184200446 "montana"
"montana.48" 5.16389841049282 2.30369790228379 3.96440951850553 1.50997024650048 "montana"
"montana.49" 5.55855171786775 2.77724307563807 3.75653242561379 1.05176624028552 "montana"
"montana.50" 6.21163847758142 3.20144320641002 4.16700609587258 1.24887711857856 "montana"
"lacustris.1" 6.53654995131547 3.48142994089421 5.18660038403705 2.28125829660142 "lacustris"
"lacustris.2" 5.7705662483132 3.34528771306878 4.94874132033223 1.78968504153968 "lacustris"
"lacustris.3" 6.14401418462588 3.12841714492207 6.17534494863826 2.36156264808625 "lacustris"
"lacustris.4" 6.56782626955999 3.22770689518568 6.0079574239296 2.10147581054997 "lacustris"
"lacustris.5" 7.05713006779027 3.29936441031104 4.63580889249218 2.52506851963801 "lacustris"
"lacustris.6" 5.43349624881495 2.03004747736368 5.49423748922736 1.58522296905857 "lacustris"
"lacustris.7" 6.34335825828676 3.36786669421671 5.00808426393189 2.01050213599379 "lacustris"
"lacustris.8" 7.11708176034171 2.80195244360855 4.29487981494011 1.86680796816682 "lacustris"
"lacustris.9" 6.211120475551 3.05581046784305 5.64313555452663 1.96640331200634 "lacustris"
"lacustris.10" 6.74698332417875 2.86929386163308 5.50391182560828 1.83579477962299 "lacustris"
"lacustris.11" 6.93229791322369 3.28332634292423 5.49288865951273 1.77408329563516 "lacustris"
"lacustris.12" 6.77534190267514 2.85038068738763 5.68322278540183 2.20084074562525 "lacustris"
"lacustris.13" 7.04493255027823 3.15793729351669 6.08773062767259 1.69742548600635 "lacustris"
"lacustris.14" 6.5021692732231 2.83540594858482 5.67681498938275 2.47434809571032 "lacustris"
"lacustris.15" 6.29864670146884 2.58633777870938 5.17777156091104 1.6676291248817 "lacustris"
"lacustris.16" 4.73920307136208 3.4032467539476 5.10591500953546 2.05653753400986 "lacustris"
"lacustris.17" 6.52299077326784 3.23683153914383 5.47198461141156 2.1870240910087 "lacustris"
"lacustris.18" 6.88897018348496 3.58567565300158 5.74020640350452 2.20326158287837 "lacustris"
"lacustris.19" 6.96249411688793 2.99711311664261 4.92082652097345 1.93483778817901 "lacustris"
"lacustris.20" 6.19960081059412 3.37309056381103 5.44010900421427 2.05001875018419 "lacustris"
"lacustris.21" 7.83270454514834 3.67477260429366 6.13921263719372 2.31641237805367 "lacustris"
"lacustris.22" 6.78834458780319 2.87414526061363 5.48626487120184 1.58597971032625 "lacustris"
"lacustris.23" 6.67635384437104 2.50468798503666 5.12799987203381 1.78982465920775 "lacustris"
"lacustris.24" 7.47790933049152 2.88909091668227 5.38447805777702 2.12279836479849 "lacustris"
"lacustris.25" 6.0854561905467 2.89806966164185 6.22868548168634 1.89162466539391 "lacustris"
"lacustris.26" 6.27300274488129 3.02780809805864 5.8859229790337 2.43989884048325 "lacustris"
"lacustris.27" 8.2649402186997 3.58143385858292 6.30276629575316 2.22940013213081 "lacustris"
"lacustris.28" 6.59578450534784 2.85830166021714 5.63644410650039 2.04780266282241 "lacustris"
"lacustris.29" 7.73062810573018 3.10632202227181 5.8010715144677 1.57048380573715 "lacustris"
"lacustris.30" 5.5818112776801 2.89322991995628 5.21296965155 2.03388527117178 "lacustris"
"lacustris.31" 6.45473967874552 2.98125481322233 5.91951094720253 1.93040600061491 "lacustris"
"lacustris.32" 6.8526952417229 3.08541079474044 5.2446129242119 1.99507957680408 "lacustris"
"lacustris.33" 6.79786722690133 3.44517925166776 4.68959717642671 1.66903316180625 "lacustris"
"lacustris.34" 5.88459006675225 3.01703724577827 5.62970250272771 2.17665210542972 "lacustris"
"lacustris.35" 6.6014712376871 3.22687817693294 6.73329546217901 1.71211561145216 "lacustris"
"lacustris.36" 5.83437921264505 3.25029771533345 6.03822241326075 1.95765493223167 "lacustris"
"lacustris.37" 7.08651285063984 3.29851243499524 6.2594068815174 2.14123448780808 "lacustris"
"lacustris.38" 7.34676497722831 2.77023565672944 5.76985562709215 1.78928807945089 "lacustris"
"lacustris.39" 5.03169330136866 3.5511300945124 5.18255457340694 2.2021304842063 "lacustris"
"lacustris.40" 7.45232748184122 2.83885700551732 5.42922277929989 1.62826237943412 "lacustris"
"lacustris.41" 5.71992964314734 2.93647345771717 5.3861154011753 1.17712475090669 "lacustris"
"lacustris.42" 6.90609634757383 3.47208164027953 5.26745978544733 2.16647383299246 "lacustris"
"lacustris.43" 7.04958048325713 3.43307148016979 5.97948880774702 2.27993974126364 "lacustris"
"lacustris.44" 6.44818355114788 2.58732941406307 4.82509957768917 1.93964179235785 "lacustris"
"lacustris.45" 6.13676371944597 2.66428129122728 6.07795716009756 2.17830413425864 "lacustris"
"lacustris.46" 6.70363669012182 2.49222647587835 6.0766132907322 1.67678020828187 "lacustris"
"lacustris.47" 6.89493944262467 3.03850961910913 4.82433534571828 1.98758649086733 "lacustris"
"lacustris.48" 7.20584166167586 3.03247668831088 5.94022546571695 1.43943805700092 "lacustris"
"lacustris.49" 5.15245687275579 3.10316833883942 7.02735211855919 2.38285253730561 "lacustris"
"lacustris.50" 5.44340579824231 3.16987590723423 5.21372330429203 2.58790708376228 "lacustris"
"pallida.1" 5.42243607025923 2.61970013218872 1.322888014721 0.424341210553879 "pallida"
"pallida.2" 4.99539652399884 3.47269527040963 1.16772867710477 0.233281924455945 "pallida"
"pallida.3" 4.99307653788409 3.68184307520247 1.32959786133123 0.305291811627971 "pallida"
"pallida.4" 4.41816197749313 2.82304861663083 1.48470385426647 0.27080289656588 "pallida"
"pallida.5" 5.31246295090978 3.62840684376705 1.20129901164086 0.224424116440768 "pallida"
"pallida.6" 4.92429021201905 3.08267550695928 1.57470462494832 0.232043448417885 "pallida"
"pallida.7" 4.75135538082581 3.85341572081217 1.51727350444231 0.363411957770023 "pallida"
"pallida.8" 4.4585030170094 3.65253128694554 1.28926744547062 0.222646135890596 "pallida"
"pallida.9" 4.88977049245072 3.74867235530502 1.50523494339675 0.00978339228935013 "pallida"
"pallida.10" 4.67678617670215 3.47833643603331 1.60490624080725 0.22329170566474 "pallida"
"pallida.11" 4.85205591968299 3.78811618369651 1.66470144656035 0.308574766216877 "pallida"
"pallida.12" 4.53388941727832 4.00363425557419 1.42133950901495 0.317462103893834 "pallida"
"pallida.13" 5.66034367788706 4.24786801981207 1.444112526167 0.317475099121391 "pallida"
"pallida.14" 4.99979520160882 3.4161600911347 1.44543496444449 0.0498445723255743 "pallida"
"pallida.15" 5.42279775946532 2.49021135411561 1.73736301026285 0.288746109023993 "pallida"
"pallida.16" 3.9972204667083 3.4411454235457 1.67692292925457 0.358198254604894 "pallida"
"pallida.17" 4.83027768252524 3.51371302277094 1.62139606201862 0.393986296410118 "pallida"
"pallida.18" 4.74408940415033 3.36322552539193 1.40710917318264 0.219921556249665 "pallida"
"pallida.19" 4.53182424690519 3.66495976424941 1.53330045902027 0.208684876096864 "pallida"
"pallida.20" 5.6056801547153 3.84942320547593 1.53904071172776 0.418476333495836 "pallida"
"pallida.21" 4.45724049065976 3.21201644859602 1.26300873795574 0.0526468618372425 "pallida"
"pallida.22" 5.12945221163334 3.30537083439314 1.13184130380812 0.195360856966552 "pallida"
"pallida.23" 5.33419606770511 3.59388858646665 1.58460904442926 0.299030901937317 "pallida"
"pallida.24" 5.07509122415797 3.19857276302768 1.16985520342557 0.0584609540768961 "pallida"
"pallida.25" 4.66662961755632 3.46605583445514 1.4623216356781 0.278415621798398 "pallida"
"pallida.26" 5.37092636491102 2.61002520134486 1.50980494044239 0.463689787297585 "pallida"
"pallida.27" 5.07214359357146 2.96103451052303 1.56971581093391 0.245529272208777 "pallida"
"pallida.28" 4.59364075118996 2.87436472915858 1.49818616918953 0.213720454310363 "pallida"
"pallida.29" 4.4677997279112 3.07206383914989 1.322002647079 0.301053735975663 "pallida"
"pallida.30" 5.81510101336608 3.1389122521812 1.65042586094317 0.213648796282212 "pallida"
"pallida.31" 4.74291810234792 3.58741008342777 1.79413189721397 0.340292745606699 "pallida"
"pallida.32" 4.28652314091911 3.83751245025076 1.6303319369288 0.350845910924971 "pallida"
"pallida.33" 5.21276526857875 3.12470230360094 1.09070359838514 0.246312028535662 "pallida"
"pallida.34" 5.12628826251536 3.01234724605972 1.72936159310912 0.109592963780334 "pallida"
"pallida.35" 4.48106609430854 2.99364615685976 1.4512916103947 0.0931863848741046 "pallida"
"pallida.36" 4.25264069165784 3.25512860460717 1.56227458271171 0.17725728543156 "pallida"
"pallida.37" 4.96090501831509 3.32833185679358 1.58082725545336 0.33843565541166 "pallida"
"pallida.38" 5.4477879867245 3.62965439288314 1.44353002113524 0.0189967328958972 "pallida"
"pallida.39" 5.25264987840935 3.29401692157132 1.44762244153929 0.0273293625230187 "pallida"
"pallida.40" 4.81486910569547 2.56133065428879 1.65668997867114 0.170211130627161 "pallida"
"pallida.41" 4.68255297628885 3.38987457642729 1.59793759713814 0.291719886853176 "pallida"
"pallida.42" 5.11110305993106 3.92302224131697 1.65117018913263 0.140095633934186 "pallida"
"pallida.43" 5.06701197535643 3.92486294136842 1.91721143053432 0.348795626897212 "pallida"
"pallida.44" 5.25016358628899 3.09902537103514 1.58892362563534 0.284645629865053 "pallida"
"pallida.45" 4.85253383473324 2.78262236708239 1.50161610464484 0.226218747586372 "pallida"
"pallida.46" 5.35471433179848 4.45293946450437 1.03970188119262 0.340921954346303 "pallida"
"pallida.47" 4.68386225505551 3.36027479173131 1.97619919230394 0.291020900736236 "pallida"
"pallida.48" 4.87783504224912 3.38736567369718 1.36979405553035 0.194305361765244 "pallida"
"pallida.49" 5.29324242772646 3.60336715844675 1.91564651332407 0.272791801936007 "pallida"
"pallida.50" 5.38985026094269 2.75499266684817 1.53356830920288 0.321062434548113 "pallida"
"rubicunda.1" 6.13829350107691 2.9640824053057 3.73580227990093 1.29527161980675 "rubicunda"
"rubicunda.2" 5.56238952780128 2.73637533342315 3.85096821409044 1.10730227770576 "rubicunda"
"rubicunda.3" 6.42157377347548 3.12085813741459 4.41486059728798 1.35996823057287 "rubicunda"
"rubicunda.4" 6.59062365544188 2.37091627115012 5.10722933260731 1.37682184065796 "rubicunda"
"rubicunda.5" 6.09286545023109 3.57111025179362 4.8206407823232 1.40335024349352 "rubicunda"
"rubicunda.6" 6.01782093581239 2.56167419697129 3.93715977693181 0.973200500937751 "rubicunda"
"rubicunda.7" 5.89306096683778 2.26643704965652 4.68692126162184 1.37401087422638 "rubicunda"
"rubicunda.8" 7.16322654633493 2.64887083160154 4.23489491768269 1.39353156897821 "rubicunda"
"rubicunda.9" 6.0928887156915 2.8206405639851 4.41574965178821 1.01686919552178 "rubicunda"
"rubicunda.10" 5.84612250859585 3.33043857404886 4.39458139480243 1.53381872720504 "rubicunda"
"rubicunda.11" 4.51203371042776 3.08452967569873 5.59125532683405 1.49657908221467 "rubicunda"
"rubicunda.12" 5.04725138745265 2.81917353883979 3.64732175437591 1.82623148082449 "rubicunda"
"rubicunda.13" 5.8918980684392 2.29038063979165 4.31216568452882 1.3600872792901 "rubicunda"
"rubicunda.14" 6.05313133713502 2.47106268851342 3.33992604646083 1.33616584834403 "rubicunda"
